"","Indicator.Name","Indicator.Code","Year.Month","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cabo Verde","Cameroon","Central African Republic","Chad","Comoros","Côte d'Ivoire","Democratic Republic of the Congo","Djibouti","Egypt","Equatorial Guinea","Eswatini","Ethiopia","Gabon","Ghana","Guinea","Guinea-Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Republic of Congo","Rwanda","São Tomé and Príncipe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","South Sudan","Sudan","Tanzania","The Gambia","Togo","Tunisia","Uganda","Zambia","Zimbabwe"
"33","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-09-30",0,1.43,0,0.58,NA,1.09,0,NA,NA,0.53,0,-0.08,NA,NA,0.14,0,-0.28,2.32,-0.48,NA,-0.72,NA,NA,0.47,-0.51,NA,0.45,NA,0.02,-0.13,0.42,0.09,2.07,0.07,NA,1.66,-0.31,-0.2,NA,0.02,0.27,0.38,NA,0.4,-0.9,1.93,NA,0.16,-0.44,0.06,-0.72,NA,0
"34","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-10-31",0.04,0.28,-0.4,0.22,NA,3.46,0.09,NA,NA,0.11,0.43,0.14,NA,NA,0.11,0,-0.05,3.99,-0.34,NA,0.03,NA,NA,-0.04,-9.11,NA,0.78,NA,0,-0.31,-0.08,0,0.97,-0.5,NA,1,-0.03,-0.15,NA,-0.35,0.02,0.94,NA,0.13,-0.98,0.13,NA,0.45,-0.07,0.19,0.34,NA,-0.36
"35","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-11-30",0.01,0.4,-0.1,0.57,NA,1.04,0.63,NA,NA,-0.11,0,0.06,NA,NA,0.27,0,-0.15,1.94,-0.11,NA,2.9,NA,NA,0.05,-1.61,NA,0.62,NA,0.09,0.32,-0.33,0,0.75,-0.63,NA,-0.11,-0.06,0.78,NA,0.06,-0.21,0.04,NA,-0.26,3.71,0.13,NA,0.32,-0.08,0.27,1.9,NA,-1.99
"36","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2010-12-31",0.18,0.32,0.18,0.92,NA,0.39,-0.09,NA,NA,0.11,0.2,0.55,NA,NA,0.5,0,-0.45,2.68,-0.34,NA,3.97,NA,NA,0.05,1.15,NA,0.15,NA,-0.1,0.14,0.25,0,1.55,0.46,NA,0.13,0.48,-0.68,NA,0.32,-0.08,0.07,NA,0.13,-2.21,3.66,NA,0.1,1.15,0.31,3.07,NA,2.03
"37","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2011-01-31",0,0.5,0.02,0.43,NA,0,-0.09,NA,NA,0.21,0,1.14,NA,NA,0.01,0.71,0.73,1.97,-0.81,NA,0.18,NA,NA,0.21,1.92,NA,-0.94,NA,0.94,2.31,0.99,0.28,0,0.32,NA,0.26,-1.19,1.88,NA,-0.18,0.16,4.06,NA,-0.13,8.05,4.26,NA,0.13,1.83,0.14,1.76,NA,0.18
"38","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2011-02-28",0.02,0.61,0.4,0.42,NA,0.68,1.62,NA,NA,4.19,0.52,0.45,NA,NA,0,0.05,0.1,-0.9,0.44,NA,1.57,NA,NA,0.1,0.94,NA,0.29,NA,0.56,0.62,0.08,0.09,0.39,0.02,NA,1.83,0.52,-1.07,NA,0.41,0.31,0.14,NA,-0.26,38.36,2.22,NA,0.02,0.13,-0.02,0.95,NA,0.18
"39","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2011-03-31",0,0.52,0.4,1.18,NA,-0.34,0.18,NA,NA,-1.71,-1.58,0.04,NA,NA,0,0.46,0.52,3.07,-0.26,NA,0.94,NA,NA,0.76,-0.19,NA,0.44,NA,0,-0.07,-0.08,0.09,0.54,0.4,NA,0.25,-1.34,0,NA,-0.02,-0.05,0.07,NA,1.06,8.79,0.74,NA,0.1,0.83,0.08,5.48,NA,-0.18
"40","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2011-04-30",1.69,0.27,0.39,0.49,NA,9.44,0,NA,NA,0.41,-1.38,2.36,NA,NA,0.1,0.13,1,2.73,0.75,NA,-0.03,NA,NA,0.99,0.2,NA,-0.11,NA,0.68,0.31,0.16,0.09,0.35,0.19,NA,-0.41,1.91,2.61,NA,-0.08,0.23,0.29,NA,-0.39,12.17,1.5,NA,0.28,0.55,0.43,1.42,NA,-0.54
"41","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2011-05-31",0,1.06,0.29,0.97,NA,-8.01,0.35,NA,NA,0.51,0,0.29,NA,NA,1.08,0.3,-0.01,1.2,-3.02,NA,9.33,NA,NA,0.18,0.57,NA,-0.04,NA,0,0.03,0,0.19,0.26,0.24,NA,0.97,1.21,1.09,NA,-0.01,0.06,0.5,NA,0.4,-28.75,1.71,NA,0.02,-0.22,0.42,1.4,NA,0
"42","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2011-06-30",0.07,1.95,0.2,1.5,NA,0.07,0.18,NA,NA,0.71,0.22,2.25,NA,NA,0.25,0.08,0.42,3.11,-0.01,NA,1.18,NA,NA,0.44,0.1,NA,0.04,NA,0.62,0.09,-0.25,0,0.1,1.16,NA,-0.22,0.7,-3.34,NA,-0.21,1.01,0.39,NA,0.79,1.45,1.28,NA,0.03,0.12,0.45,0.15,NA,0.36
